[2025-04-23 19:42:31,903][       train.py][line: 102][    INFO] load CoOp
[2025-04-23 19:42:32,022][       train.py][line: 201][    INFO] train data (brainmri) len 1
[2025-04-23 19:42:32,023][       train.py][line: 206][    INFO] test data (brainmri) len 220
[2025-04-23 19:42:32,023][       train.py][line: 213][    INFO] anomaly syn task is CutpasteTask, sampling probability is 0.25
[2025-04-23 19:42:32,023][       train.py][line: 213][    INFO] anomaly syn task is GaussIntensityChangeTask, sampling probability is 0.25
[2025-04-23 19:42:32,023][       train.py][line: 213][    INFO] anomaly syn task is SourceTask, sampling probability is 0.25
[2025-04-23 19:42:32,023][       train.py][line: 213][    INFO] anomaly syn task is IdentityTask, sampling probability is 0.25
[2025-04-23 19:42:51,262][       train.py][line: 293][    INFO] (brainmri): Epoch: 1, image auroc: 0.5158,
[2025-04-23 19:42:51,262][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.5158,
[2025-04-23 19:42:51,262][       train.py][line: 319][    INFO] save checkpoints in epoch: 1
[2025-04-23 19:43:11,012][       train.py][line: 293][    INFO] (brainmri): Epoch: 2, image auroc: 0.4695,
[2025-04-23 19:43:11,013][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.5158,
[2025-04-23 19:43:30,865][       train.py][line: 293][    INFO] (brainmri): Epoch: 3, image auroc: 0.4382,
[2025-04-23 19:43:30,865][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.5158,
[2025-04-23 19:43:50,804][       train.py][line: 293][    INFO] (brainmri): Epoch: 4, image auroc: 0.5369,
[2025-04-23 19:43:50,804][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.5369,
[2025-04-23 19:43:50,804][       train.py][line: 319][    INFO] save checkpoints in epoch: 4
[2025-04-23 19:44:10,556][       train.py][line: 293][    INFO] (brainmri): Epoch: 5, image auroc: 0.6122,
[2025-04-23 19:44:10,556][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.6122,
[2025-04-23 19:44:10,556][       train.py][line: 319][    INFO] save checkpoints in epoch: 5
[2025-04-23 19:44:30,932][       train.py][line: 293][    INFO] (brainmri): Epoch: 6, image auroc: 0.7071,
[2025-04-23 19:44:30,932][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.7071,
[2025-04-23 19:44:30,932][       train.py][line: 319][    INFO] save checkpoints in epoch: 6
[2025-04-23 19:44:51,490][       train.py][line: 293][    INFO] (brainmri): Epoch: 7, image auroc: 0.7462,
[2025-04-23 19:44:51,491][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.7462,
[2025-04-23 19:44:51,491][       train.py][line: 319][    INFO] save checkpoints in epoch: 7
[2025-04-23 19:45:12,046][       train.py][line: 293][    INFO] (brainmri): Epoch: 8, image auroc: 0.8026,
[2025-04-23 19:45:12,046][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8026,
[2025-04-23 19:45:12,046][       train.py][line: 319][    INFO] save checkpoints in epoch: 8
[2025-04-23 19:45:32,609][       train.py][line: 293][    INFO] (brainmri): Epoch: 9, image auroc: 0.8470,
[2025-04-23 19:45:32,609][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8470,
[2025-04-23 19:45:32,610][       train.py][line: 319][    INFO] save checkpoints in epoch: 9
[2025-04-23 19:45:35,759][       train.py][line: 383][    INFO] Epoch: [10/200]	Iter: [10/200]	Loss 0.77526 (0.77526)	
[2025-04-23 19:45:53,670][       train.py][line: 293][    INFO] (brainmri): Epoch: 10, image auroc: 0.8696,
[2025-04-23 19:45:53,671][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8696,
[2025-04-23 19:45:53,671][       train.py][line: 319][    INFO] save checkpoints in epoch: 10
[2025-04-23 19:46:14,779][       train.py][line: 293][    INFO] (brainmri): Epoch: 11, image auroc: 0.8758,
[2025-04-23 19:46:14,780][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8758,
[2025-04-23 19:46:14,780][       train.py][line: 319][    INFO] save checkpoints in epoch: 11
[2025-04-23 19:46:36,075][       train.py][line: 293][    INFO] (brainmri): Epoch: 12, image auroc: 0.8774,
[2025-04-23 19:46:36,075][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8774,
[2025-04-23 19:46:36,075][       train.py][line: 319][    INFO] save checkpoints in epoch: 12
[2025-04-23 19:46:57,263][       train.py][line: 293][    INFO] (brainmri): Epoch: 13, image auroc: 0.8766,
[2025-04-23 19:46:57,263][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8774,
[2025-04-23 19:47:18,647][       train.py][line: 293][    INFO] (brainmri): Epoch: 14, image auroc: 0.8842,
[2025-04-23 19:47:18,647][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8842,
[2025-04-23 19:47:18,647][       train.py][line: 319][    INFO] save checkpoints in epoch: 14
[2025-04-23 19:47:39,980][       train.py][line: 293][    INFO] (brainmri): Epoch: 15, image auroc: 0.8905,
[2025-04-23 19:47:39,981][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8905,
[2025-04-23 19:47:39,981][       train.py][line: 319][    INFO] save checkpoints in epoch: 15
[2025-04-23 19:48:01,061][       train.py][line: 293][    INFO] (brainmri): Epoch: 16, image auroc: 0.8937,
[2025-04-23 19:48:01,061][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8937,
[2025-04-23 19:48:01,061][       train.py][line: 319][    INFO] save checkpoints in epoch: 16
[2025-04-23 19:48:22,867][       train.py][line: 293][    INFO] (brainmri): Epoch: 17, image auroc: 0.8928,
[2025-04-23 19:48:22,867][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8937,
[2025-04-23 19:48:44,332][       train.py][line: 293][    INFO] (brainmri): Epoch: 18, image auroc: 0.8971,
[2025-04-23 19:48:44,332][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.8971,
[2025-04-23 19:48:44,332][       train.py][line: 319][    INFO] save checkpoints in epoch: 18
[2025-04-23 19:49:05,874][       train.py][line: 293][    INFO] (brainmri): Epoch: 19, image auroc: 0.9155,
[2025-04-23 19:49:05,874][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9155,
[2025-04-23 19:49:05,874][       train.py][line: 319][    INFO] save checkpoints in epoch: 19
[2025-04-23 19:49:09,084][       train.py][line: 383][    INFO] Epoch: [20/200]	Iter: [20/200]	Loss 0.84783 (0.84783)	
[2025-04-23 19:49:27,406][       train.py][line: 293][    INFO] (brainmri): Epoch: 20, image auroc: 0.9172,
[2025-04-23 19:49:27,406][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9172,
[2025-04-23 19:49:27,406][       train.py][line: 319][    INFO] save checkpoints in epoch: 20
[2025-04-23 19:49:48,688][       train.py][line: 293][    INFO] (brainmri): Epoch: 21, image auroc: 0.9153,
[2025-04-23 19:49:48,689][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9172,
[2025-04-23 19:50:10,253][       train.py][line: 293][    INFO] (brainmri): Epoch: 22, image auroc: 0.9182,
[2025-04-23 19:50:10,253][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9182,
[2025-04-23 19:50:10,253][       train.py][line: 319][    INFO] save checkpoints in epoch: 22
[2025-04-23 19:50:31,450][       train.py][line: 293][    INFO] (brainmri): Epoch: 23, image auroc: 0.9166,
[2025-04-23 19:50:31,451][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9182,
[2025-04-23 19:50:52,920][       train.py][line: 293][    INFO] (brainmri): Epoch: 24, image auroc: 0.9183,
[2025-04-23 19:50:52,921][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9183,
[2025-04-23 19:50:52,921][       train.py][line: 319][    INFO] save checkpoints in epoch: 24
[2025-04-23 19:51:14,184][       train.py][line: 293][    INFO] (brainmri): Epoch: 25, image auroc: 0.9169,
[2025-04-23 19:51:14,184][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9183,
[2025-04-23 19:51:35,552][       train.py][line: 293][    INFO] (brainmri): Epoch: 26, image auroc: 0.9246,
[2025-04-23 19:51:35,552][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:51:35,552][       train.py][line: 319][    INFO] save checkpoints in epoch: 26
